,left,right,convergence,bladder_mid,sb_cr,size_sb,mouth_area,mouth_cr,tail_bend_amplitude
334,18.0868105246,17.0127014738,35.0995119984,59.5529438058,0.00288361412266,370.0,239.0,-0.2,3.3913394198
335,18.0334285608,18.4679571868,36.5013857476,59.6666917441,-0.0248008912842,366.5,238.0,0.2,2.56377021147
336,18.074131926,17.8917301029,35.9658620289,59.7362626057,-0.0311037858617,366.5,239.5,-0.5,3.0015243277
337,18.0358398705,17.0403948826,35.0762347532,59.733990073,-0.0302744467331,366.5,238.5,-0.7,3.3913394198
338,18.2153384075,17.5773784062,35.7927168137,59.5673618764,0.0393166107074,364.0,238.0,-0.7,2.99034497517
339,18.7301380811,17.8922031204,36.6223412015,59.5426872876,0.0342477242037,369.5,239.0,-0.2,3.3913394198
340,18.6162596321,18.4763920241,37.0926516562,59.5807436764,0.0587591710945,367.0,237.0,0.4,3.3913394198
341,18.0727926386,17.6044303988,35.6772230374,59.5826178393,0.0133559293487,364.0,235.0,0.8,3.3913394198
342,17.8863604579,18.7266342527,36.6129947106,59.76394493,-0.00616665455907,364.0,234.5,1.5,3.3913394198
343,18.0350039175,17.1969055986,35.2319095161,59.7139259087,-0.00536363935354,367.0,238.0,0.6,3.3913394198
344,18.302380422,16.6315145269,34.9338949489,59.8745395319,-0.0470289707967,364.5,239.0,0.4,2.78748084203
345,17.8906529517,16.5898366442,34.4804895959,59.6493974861,0.00106938486336,368.5,239.0,-0.6,2.99034497517
346,18.7839713467,17.3965527586,36.1805241053,59.7331116572,-0.00529756477778,363.5,242.0,-1.3,2.99034497517
347,18.7942510973,17.7466376353,36.5408887326,59.6871077119,-0.0193049954949,367.5,241.0,-1.2,2.99034497517
348,18.6086487464,17.9866886898,36.5953374362,59.6393946779,-0.00524458158828,363.0,241.0,-1.1,2.99034497517
349,18.4950768878,17.4255283885,35.9206052763,59.6547444104,-0.0113077852961,364.5,236.0,0.0,3.3913394198
350,18.2178700971,17.5183382178,35.736208315,59.7066238333,-0.0276449454379,372.5,235.5,0.3,2.99034497517
351,18.1913222235,17.6575365523,35.8488587759,59.5905827344,0.0263679703575,369.0,235.0,1.0,3.3913394198
352,18.6356692881,17.7231233868,36.3587926749,59.6131717699,0.016673798068,371.0,235.5,1.0,3.3913394198
353,18.3160140018,17.4387119369,35.7547259387,59.5982054839,0.0113344029107,369.0,236.0,0.6,3.3913394198
354,18.5811148735,17.5757905472,36.1569054207,59.5683991061,0.0168761793979,366.5,237.0,0.6,2.99034497517
355,18.0433196769,17.3135563666,35.3568760436,59.7224225862,0.00953305261107,365.5,240.0,0.3,2.99034497517
356,18.4598660468,16.2476530303,34.7075190772,59.6965407603,-0.0137595300557,365.0,240.5,0.3,2.99034497517
357,18.0695467505,16.3622214858,34.4317682362,59.6548774985,-0.0344606854436,370.0,239.0,0.3,3.64312821221
358,18.0515717624,17.1467195993,35.1982913617,59.6527800031,-0.00283338310821,363.5,240.0,-0.8,2.99034497517
359,18.0162834436,17.6591571454,35.6754405891,59.7700878493,-0.0391065053908,363.5,241.5,-1.6,2.99034497517
360,18.0060302371,17.1585435397,35.1645737768,59.62774311,-0.0184709026848,366.0,242.0,-1.8,2.99034497517
361,18.3704625453,16.9349768564,35.3054394016,59.4825740712,0.0669425116419,369.5,240.5,-1.4,2.99034497517
362,18.5785314335,17.8550756237,36.4336070572,59.6386130876,0.0181094452347,365.0,236.0,0.4,3.3913394198
363,18.9490411416,18.2647080401,37.2137491817,59.5745553223,0.00772958262605,365.0,233.5,1.6,3.3913394198
364,18.912247438,17.0463406769,35.9585881149,59.5353885966,0.0106463307454,365.0,233.0,1.8,2.99034497517
365,17.4025083051,17.618924932,35.021433237,59.8172866294,-0.0507647291616,363.0,233.5,1.7,2.99034497517
366,18.0178536795,17.6380764155,35.655930095,59.7291603137,-0.0400265176069,363.0,238.0,0.8,2.99034497517
367,18.4875314938,17.7963339193,36.2838654131,59.6132032354,0.0146424155547,366.0,241.5,-0.3,2.99034497517
368,19.0511694997,17.0480735588,36.0992430584,59.5886202503,0.0245584351943,368.5,242.0,-0.8,3.3913394198
369,18.9711441247,18.9434748325,37.9146189572,59.5634629836,0.05224690954,363.5,242.0,-1.0,2.99034497517
370,19.0242636881,18.0963564112,37.1206200993,59.5290277257,0.060501658991,365.5,242.0,-1.2,3.3913394198
371,18.7587483578,17.2919973635,36.0507457213,59.6864153132,-0.0191349607362,361.5,240.0,-1.1,3.3913394198
372,18.0954436469,17.517496686,35.6129403329,59.7114124263,-0.0142533066472,364.5,238.0,-0.7,3.3913394198
373,17.6790915542,17.7326854103,35.4117769645,59.8246975313,-0.0546442815638,365.0,237.0,-0.3,3.3913394198
374,18.617830207,17.3333883952,35.9512186022,59.8315360206,-0.0336687340797,367.5,236.0,0.0,3.3913394198
375,18.1354561611,18.2674635763,36.4029197375,59.5907405095,0.0107296129601,364.0,234.5,0.9,2.99034497517
376,18.7131193065,18.1969772957,36.9100966022,59.640145893,0.0141382589235,365.0,234.5,0.9,3.3913394198
377,18.8858646801,17.8315547718,36.7174194519,59.5514761235,0.0400278750645,366.0,235.5,1.4,3.3913394198
378,18.6295938526,17.1091099603,35.7387038129,59.6631923503,-0.0249788118784,367.0,236.0,1.2,3.3913394198
379,18.6918038551,17.4383416243,36.1301454794,59.6443885743,-0.0182390733747,364.0,239.0,0.3,2.99034497517
380,18.0398697938,18.1377371489,36.1776069427,59.7108371876,-0.0157631078324,367.5,239.0,-0.2,3.3913394198
381,18.5999813396,17.3423115035,35.9422928431,59.7516154988,-0.0437338166086,367.5,242.5,-0.9,3.3913394198
382,18.6587438614,18.2399850504,36.8987289119,59.5382982909,0.0238088622332,365.5,242.0,-1.6,3.64312821221
383,19.1605480252,17.2329804496,36.3935284748,59.5531932075,0.0419954238198,366.5,240.5,-1.1,3.41658819177
384,18.421499845,17.9446377777,36.3661376228,59.6320216485,0.03926715605,365.5,238.0,-0.6,3.3913394198
385,18.3420092998,17.7841663345,36.1261756343,59.5329464158,0.0489874522762,365.5,238.0,-0.6,3.3913394198
386,17.5739576201,18.0405354472,35.6144930673,59.657342602,-0.00185384884846,365.5,234.0,0.8,3.3913394198
387,18.1238511444,17.1949777374,35.3188288817,59.7631703266,-0.0236590619815,365.0,235.0,1.4,3.3913394198
388,18.1053841727,17.1680136474,35.2733978201,59.8283574287,-0.0427052652121,367.5,235.0,1.4,3.3913394198
389,18.5595284694,17.4405240885,36.0000525579,59.7778836772,-0.0173004719067,362.0,235.0,1.0,2.99034497517
390,18.1931550235,17.1487124052,35.3418674287,59.6480733578,0.0269428237726,365.0,238.0,0.2,2.99034497517
391,18.4988127088,17.345746023,35.8445587318,59.6448750166,0.0177090515786,366.0,242.0,-0.8,3.3913394198
392,18.3018701856,17.2824132539,35.5842834396,59.6148311027,-0.00355699019513,366.0,242.0,-0.8,3.3913394198
393,18.5099393286,17.8037266353,36.3136659639,59.6913813176,0.0263680061449,364.0,240.0,-0.6,2.99034497517
