,left,right,convergence,bladder_mid,sb_cr,size_sb,mouth_area,mouth_cr
71,20.3015550646,11.7174247319,32.0189797965,60.3456733897,0.00717137684755,349.0,297.5,-0.3
72,20.0279473259,12.5963639924,32.6243113182,60.4403753344,-0.0181430572487,349.0,296.0,-0.5
73,20.8271736535,11.8843789161,32.7115525696,60.43153997,-0.00734574158253,348.0,298.5,-0.7
74,20.681984376,13.3613769346,34.0433613105,60.529791215,-0.024709683985,346.0,296.0,0.3
75,20.0728206347,12.9784812052,33.0513018399,60.381530274,0.0277770947543,351.5,296.0,0.2
76,21.2354808632,12.3226983618,33.558179225,60.3496600482,-0.00135299506243,349.5,293.5,0.9
77,20.5130832444,12.5678450565,33.0809283009,60.3948112621,0.00994905604966,347.0,295.0,1.1
78,21.1490382131,12.690087356,33.8391255691,60.4062427951,-0.0152640929057,348.5,297.5,0.4
79,20.6736684913,12.2509846641,32.9246531554,60.5204157477,-0.0548442882796,351.0,297.0,0.0
80,21.2249722503,12.223804036,33.4487762863,60.3428950728,-0.00703745378733,347.5,298.0,-0.6
81,21.4650207012,13.0334968302,34.4985175315,60.4445565423,0.00837102154779,349.0,300.5,-1.1
82,20.793871966,12.2801832628,33.0740552288,60.3299223305,0.0197832381212,349.5,299.5,-0.7
83,20.7032080967,12.5761060578,33.2793141545,60.2461943063,0.0298092291396,352.5,297.0,0.2
84,20.6604575433,12.9231660996,33.5836236429,60.3077078039,0.0233514552447,351.0,295.0,0.4
85,20.5238262631,11.9233464711,32.4471727342,60.4864116501,-0.0176156480534,349.5,295.0,0.4
86,20.7587750014,12.7657455269,33.5245205283,60.4288385212,-0.00638812288066,347.5,296.0,0.2
87,20.6159452097,12.4627563747,33.0787015844,60.395240452,0.00638113259787,352.0,298.0,-0.4
88,20.5950026321,12.9813413163,33.5763439484,60.4244650801,0.00636600324463,352.5,297.0,-0.4
89,20.7227210806,12.1960116839,32.9187327646,60.3983334098,0.00880020516415,351.5,297.0,-0.2
90,20.2122844012,13.1381249135,33.3504093148,60.3968979068,5.84119607865e-05,350.0,297.0,-0.1
91,20.3136183202,13.2124552629,33.5260735832,60.427146115,-0.0314752051258,349.5,296.0,0.4
92,20.8834874241,13.2149146198,34.0984020439,60.4562950964,0.00049056752171,352.0,295.0,0.5
93,20.3256083956,12.5500868606,32.8756952561,60.4423344356,-0.0202755419378,349.5,296.0,0.4
94,20.9417875005,12.2291089374,33.1708964378,60.3971899666,-0.00956282979653,348.5,296.5,0.2
95,21.3003140196,12.2981557404,33.59846976,60.2697700894,0.0294455956161,350.0,298.0,0.3
96,21.1315857391,12.2803312357,33.4119169748,60.458747934,-0.00290221838286,352.5,297.5,0.5
97,20.7043030673,12.0824959507,32.786799018,60.3409567259,0.0312528148266,349.0,298.0,0.4
98,21.0900237723,12.1039950222,33.1940187944,60.3493758176,0.0105382826754,350.0,297.5,0.5
99,20.5063177673,12.6349170092,33.1412347766,60.4169980675,0.00526766346165,352.5,299.5,-0.3
100,20.3730214323,12.4615130308,32.8345344631,60.444236842,0.000377710288959,351.0,300.0,-1.0
101,20.3928189958,12.2377252507,32.6305442465,60.4972208001,-0.0295572785711,351.0,300.0,-1.5
102,20.8785911038,13.1263158799,34.0049069838,60.402067231,-0.0107042731167,350.0,300.0,-0.8
103,20.8596222099,12.7634143673,33.6230365772,60.4433363848,-0.00882127641103,351.5,298.0,0.1
104,20.6319269968,12.5412449276,33.1731719244,60.4461253935,-0.0066399588161,348.5,295.0,0.5
105,19.9261971483,12.4671239327,32.393321081,60.3494344072,-0.00864244781425,349.5,292.5,1.2
106,20.5528871971,12.8284662489,33.3813534461,60.3485458654,-0.00206100296191,349.0,296.0,0.3
107,20.8649547161,12.4706241274,33.3355788435,60.3992300027,0.0156137692583,350.0,298.5,0.5
108,21.0805033945,12.7374432525,33.817946647,60.4129255994,-0.007054056746,351.5,297.5,0.1
109,21.5881268437,12.1537601539,33.7418869976,60.3062221681,0.0215267633328,352.0,298.5,0.2
110,20.5781726702,12.292959202,32.8711318722,60.3382408506,0.0266069102527,351.5,297.5,0.1
111,20.7099925084,12.2778807922,32.9878733006,60.477298849,-0.0148489768842,349.0,301.0,-0.8
112,21.5940836797,12.4515674958,34.0456511755,60.3776553157,0.0115317744781,350.5,298.0,-0.4
